Bug #,Bug Title,Severity,Status Notes,Found By,Date Found,Module,Notes
1,wrong calculation,,Still working on it,PM,April 2024,Dashboard,Critical for release
2,error on submit,High,waiting for deploy,Developer,"Jan 15, 2024",Auth,Found in sprint 5
3,wrong calculation,N/A,wont fix,QA Team,3/15/24,Auth,Happens sometimes
4,slow performance,N/A,,QA Team,last week,Database,
5,timeout error,Med,Fixed,Auto Test,last week,API,Low priority
6,slow performance,High,DONE,Developer,2024-02-20,,Found in sprint 5
7,ui looks weird,Not Important,Open,Developer,last week,Reports,
8,login broken,low,closed - duplicate,,yesterday,Payments,
9,login broken,Hi,closed - duplicate,Auto Test,yesterday,Payments,Customer complaint
10,page not loading,Hi,Open,Developer,2024-02-20,Database,Critical for release
11,error on submit,low,Open,Auto Test,last week,Reports,Customer complaint
12,ui looks weird,Hi,wont fix,Customer,,Auth,Found in sprint 5
13,error on submit,Hi,Still working on it,PM,last week,Reports,
14,slow performance,Hi,DONE,Auto Test,2024-02-20,UI,Found in sprint 5
15,slow performance,Hi,closed - duplicate,Developer,April 2024,Database,
16,crash on mobile,Medium,DONE,,"Jan 15, 2024",UI,Happens sometimes
17,wrong calculation,N/A,wont fix,Customer,2024-02-20,Dashboard,Low priority
18,error on submit,Very High,wont fix,,3/15/24,,Critical for release
19,page not loading,V. High,Fixed by John on Monday,QA Team,April 2024,API,Found in sprint 5
20,timeout error,,wont fix,Customer,"Jan 15, 2024",Payments,Found in sprint 5
21,wrong calculation,Low,Cant reproduce,,2024-02-20,Payments,
22,slow performance,Lo,DONE,Customer,,UI,
23,login broken,very high,Fixed by John on Monday,,yesterday,Login,Critical for release
24,page not loading,Lo,wont fix,,yesterday,UI,Critical for release
25,slow performance,Med,Cant reproduce,,2024-02-20,Database,Low priority
26,timeout error,Low,Open,Auto Test,last week,Payments,Happens sometimes
27,error on submit,High,DONE,QA Team,April 2024,,
28,missing button,Not Important,Open,Customer,yesterday,Login,
29,timeout error,med,Open,PM,yesterday,,Customer complaint
30,ui looks weird,very high,Cant reproduce,,2024-02-20,Reports,Found in sprint 5
31,ui looks weird,Very High,DONE,Customer,last week,Database,
32,error on submit,Medium,,,,,
33,error on submit,Hi,Fixed,,3/15/24,Login,
34,missing button,Lo,,Customer,"Jan 15, 2024",API,Found in sprint 5
35,page not loading,Medium,need more info,PM,3/15/24,Login,Customer complaint
36,login broken,Lo,Open,,yesterday,Dashboard,Customer complaint
37,crash on mobile,medium,DONE,Customer,"Jan 15, 2024",Auth,Low priority
38,page not loading,high,DONE,QA Team,yesterday,API,
39,data not saving,very high,Cant reproduce,Customer,,Database,Happens sometimes
40,data not saving,Hi,closed - duplicate,QA Team,,Auth,
41,slow performance,Not Important,waiting for deploy,QA Team,,Database,
42,missing button,Medium,closed - duplicate,PM,,API,
43,error on submit,low,Cant reproduce,Developer,last week,Auth,Happens sometimes
44,ui looks weird,V. High,waiting for deploy,Developer,yesterday,UI,Happens sometimes
45,slow performance,Low,,QA Team,"Jan 15, 2024",Login,Happens sometimes
46,wrong calculation,,Fixed by John on Monday,,3/15/24,Login,Found in sprint 5
47,login broken,high,waiting for deploy,,yesterday,Dashboard,Happens sometimes
48,ui looks weird,V. High,DONE,Auto Test,April 2024,,Critical for release
49,error on submit,low,Open,Auto Test,,,Happens sometimes
50,error on submit,Very High,wont fix,PM,April 2024,Reports,Happens sometimes
51,ui looks weird,Very High,wont fix,QA Team,2024-02-20,Auth,
52,timeout error,Very High,,,3/15/24,Reports,
53,wrong calculation,Hi,Fixed by John on Monday,,last week,Dashboard,Critical for release
54,missing button,low,need more info,PM,yesterday,Dashboard,Happens sometimes
55,data not saving,Hi,Still working on it,PM,3/15/24,Payments,Critical for release
56,login broken,very high,Open,Auto Test,April 2024,Login,Happens sometimes
57,slow performance,Med,Fixed by John on Monday,PM,,Auth,Found in sprint 5
58,crash on mobile,Low,closed - duplicate,QA Team,,Dashboard,Happens sometimes
59,wrong calculation,N/A,,QA Team,3/15/24,UI,Found in sprint 5
60,data not saving,Med,waiting for deploy,PM,last week,Database,Happens sometimes
