ticket_id,title,description,priority,status,component,reporter,assignee,environment,sdlc_phase,created_date,resolved_date,time_spent_minutes,browser,os
JIRA-2526,Mobile app crashes on startup,Bug found in db module.,P2,In Progress,Dashboard,dev.lead@company.com,qa.team@company.com,PROD,Development,1707714660.0,Not Yet,0.9,FIREFOX,Mac
JIRA-2023,API rate limiter not working,Bug found in auth module.,Minor,CLOSED,notification-service,jane.smith@company.com,dev.lead@company.com,Testing,,1726667640.0,2024-10-19 15:24:00,2 hours,Chrome,ubuntu
JIRA-1562,API rate limiter not working,Bug found in db module.,,Open,,product@company.com,dev.lead@company.com,QA,requirements,,,22.8,Safari,
JIRA-2887,File upload fails for PDF files,Bug found in auth module.,Trivial,In Progress,payment-gateway,qa.team@company.com,product@company.com,Staging,QA,,Not Yet,30.5,Chrome,ubuntu
JIRA-2931,User permissions not applied correctly,Bug found in auth module.,LOW,RESOLVED,AUTH,UNKNOWN,UNKNOWN,Staging,Dev,2024-04-01 22:40:00,Not Yet,0,Firefox,Windows 10
JIRA-1598,Payment gateway returns 500 error,Bug found in dashboard module.,P3,IN_PROGRESS,UI,dev.lead@company.com,john.doe@company.com,Development,Dev,1729268340.0,11/03/2024,N/A,Edge,
JIRA-1724,UI overlapping on dashboard widgets,Bug found in payment module.,Normal,Reopened,PAYMENT,qa.team@company.com,dev.lead@company.com,Production,,08/25/2024 07:47,2024-09-03 01:47:00,,Firefox,Win10
JIRA-2483,CSS broken on Safari browser,Bug found in db module.,High,RESOLVED,notification-service,qa.team@company.com,jane.smith@company.com,QA,Development,1704748080.0,Not Yet,N/A,Firefox,Mac
JIRA-1250,Payment gateway returns 500 error,Bug found in db module.,Minor,Resolved,api-gateway,john.doe@company.com,UNKNOWN,QA,Development,2024-09-26 01:29:00,,-1,IE,Win10
JIRA-2227,Chart rendering fails with large datasets,Bug found in dashboard module.,Minor,Resolved,API,jane.smith@company.com,product@company.com,dev,Maintenance,17-May-2024 15:53:00,,,FIREFOX,Android
JIRA-2393,Slow query on reports page,Bug found in auth module.,Medium,OPEN,notification-service,,john.doe@company.com,QA,requirements,,,201,Chrome,Win10
JIRA-1001,Timezone conversion incorrect,Bug found in auth module.,MEDIUM,New,auth-service,qa.team@company.com,UNKNOWN,Development,Design,1715074560.0,N/A,17.0,Firefox,Win10
