source,ticket_id,title,description,priority,status,component,reporter,assignee,environment,sdlc_phase,created_date,resolved_date,time_spent_minutes,browser,os,resolution_days,bug_type
JIRA,JIRA-2526,Mobile app crashes on startup,Bug found in db module.,Medium,In Progress,Dashboard,dev.lead@company.com,qa.team@company.com,Production,Development,2024-02-12 05:11:00,,0.9,Firefox,macOS,,Crash/Fatal
JIRA,JIRA-2023,API rate limiter not working,Bug found in auth module.,Low,Closed,Notifications,jane.smith@company.com,dev.lead@company.com,Testing,Unknown,2024-09-18 13:54:00,2024-10-19 15:24:00,120.0,Chrome,Linux,31.0,API/Integration
JIRA,JIRA-1562,API rate limiter not working,Bug found in db module.,Unknown,Open,Unknown,product@company.com,dev.lead@company.com,Testing,Requirements,,,22.8,Safari,,,API/Integration
JIRA,JIRA-2887,File upload fails for PDF files,Bug found in auth module.,Low,In Progress,Payment,qa.team@company.com,product@company.com,Staging,Testing,,,30.5,Chrome,Linux,,Functional
JIRA,JIRA-2931,User permissions not applied correctly,Bug found in auth module.,Low,Resolved,Authentication,Unknown,Unknown,Staging,Development,2024-04-01 22:40:00,,,Firefox,Windows,,Security
JIRA,JIRA-1598,Payment gateway returns 500 error,Bug found in dashboard module.,Low,In Progress,Dashboard,dev.lead@company.com,john.doe@company.com,Development,Development,2024-10-18 16:19:00,2024-11-03 00:00:00,,Edge,,15.0,API/Integration
JIRA,JIRA-1724,UI overlapping on dashboard widgets,Bug found in payment module.,Medium,Open,Payment,qa.team@company.com,dev.lead@company.com,Production,Unknown,2024-08-25 07:47:00,2024-09-03 01:47:00,,Firefox,Windows,8.0,UI/Visual
JIRA,JIRA-2483,CSS broken on Safari browser,Bug found in db module.,High,Resolved,Notifications,qa.team@company.com,jane.smith@company.com,Testing,Development,2024-01-08 21:08:00,,,Firefox,macOS,,UI/Visual
JIRA,JIRA-1250,Payment gateway returns 500 error,Bug found in db module.,Low,Resolved,API,john.doe@company.com,Unknown,Testing,Development,2024-09-26 01:29:00,,,Internet Explorer,Windows,,API/Integration
JIRA,JIRA-2227,Chart rendering fails with large datasets,Bug found in dashboard module.,Low,Resolved,API,jane.smith@company.com,product@company.com,Development,Maintenance,2024-05-17 15:53:00,,,Firefox,Android,,Data Integrity
JIRA,JIRA-2393,Slow query on reports page,Bug found in auth module.,Medium,Open,Notifications,Unknown,john.doe@company.com,Testing,Requirements,,,201.0,Chrome,Windows,,Performance
JIRA,JIRA-1001,Timezone conversion incorrect,Bug found in auth module.,Medium,Open,Authentication,qa.team@company.com,Unknown,Development,Design,2024-05-07 09:36:00,,17.0,Firefox,Windows,,Functional
JIRA,JIRA-1762,Memory leak in background service,Bug found in auth module.,Medium,In Progress,Database,dev.lead@company.com,Unknown,Staging,Testing,,,,Chrome,,,Performance
JIRA,JIRA-2606,User permissions not applied correctly,Bug found in db module.,Low,Resolved,API,qa.team@company.com,Unknown,Development,Requirements,2024-04-26 01:24:00,2024-05-17 00:00:00,,Firefox,Linux,20.0,Security
JIRA,JIRA-2333,Mobile app crashes on startup,Bug found in api module.,Low,Open,Unknown,Unknown,john.doe@company.com,Development,Testing,2024-04-27 11:00:00,2024-05-26 00:00:00,120.0,Chrome,Linux,28.0,Crash/Fatal
JIRA,JIRA-1974,Export to CSV produces empty file,Bug found in api module.,Low,Open,Database,john.doe@company.com,qa.team@company.com,Unknown,Testing,2024-01-25 02:44:00,2024-02-04 19:44:00,,Firefox,iOS,10.0,Functional
JIRA,JIRA-1057,Slow query on reports page,Bug found in auth module.,High,Closed,Dashboard,john.doe@company.com,product@company.com,Unknown,Design,,,,Internet Explorer,macOS,,Performance
JIRA,JIRA-1129,UI overlapping on dashboard widgets,Bug found in payment module.,High,Open,Dashboard,qa.team@company.com,Unknown,Staging,Requirements,,2024-10-02 00:00:00,,Chrome,macOS,,UI/Visual
JIRA,JIRA-2923,Memory leak in background service,Bug found in db module.,High,Open,Dashboard,dev.lead@company.com,Unknown,Staging,Design,2024-07-10 05:40:00,,,Internet Explorer,Windows,,Performance
JIRA,JIRA-1852,Password reset link expired instantly,Bug found in api module.,Critical,Closed,Notifications,Unknown,qa.team@company.com,Staging,Development,2024-09-14 05:00:00,,,Edge,iOS,,Functional
JIRA,JIRA-2777,Export to CSV produces empty file,Bug found in db module.,Low,Open,Authentication,product@company.com,dev.lead@company.com,Development,Development,,,,Chrome,,,Functional
JIRA,JIRA-2062,Login button not responding on mobile,Bug found in db module.,Low,Open,Payment,Unknown,john.doe@company.com,Staging,Testing,,2024-08-14 21:19:00,,Internet Explorer,Linux,,UI/Visual
JIRA,JIRA-2171,Timezone conversion incorrect,Bug found in dashboard module.,Low,Open,Notifications,Unknown,Unknown,Production,Requirements,2024-05-14 17:06:00,,,Chrome,macOS,,Functional
JIRA,JIRA-2858,Search results return wrong data,Bug found in payment module.,Unknown,Open,Authentication,Unknown,qa.team@company.com,Development,Testing,,2024-04-05 10:25:00,25.5,Firefox,iOS,,Data Integrity
JIRA,JIRA-2258,Email notifications not being sent,Bug found in db module.,Critical,Closed,Payment,product@company.com,Unknown,Development,Design,2024-11-25 09:08:00,,,Chrome,Linux,,Functional
JIRA,JIRA-2671,Chart rendering fails with large datasets,Bug found in db module.,Medium,Open,Database,product@company.com,jane.smith@company.com,Development,Requirements,,,,Edge,iOS,,Data Integrity
JIRA,JIRA-2158,Email notifications not being sent,Bug found in dashboard module.,High,In Progress,Database,Unknown,dev.lead@company.com,Staging,Testing,2024-06-17 02:18:00,,480.0,Firefox,Linux,,Functional
JIRA,JIRA-1496,Login button not responding on mobile,Bug found in dashboard module.,Medium,Closed,Authentication,john.doe@company.com,jane.smith@company.com,Testing,Maintenance,2024-01-27 05:05:00,,,Firefox,Android,,UI/Visual
JIRA,JIRA-1230,Memory leak in background service,Bug found in payment module.,High,Closed,Payment,dev.lead@company.com,Unknown,Staging,Testing,2024-06-26 22:35:00,2024-07-13 20:35:00,,Edge,,16.0,Performance
JIRA,JIRA-2128,User permissions not applied correctly,Bug found in api module.,Low,Closed,API,qa.team@company.com,jane.smith@company.com,Unknown,Deployment,,,218.0,Internet Explorer,Android,,Security
JIRA,JIRA-1944,Email notifications not being sent,Bug found in auth module.,Low,Resolved,Database,Unknown,qa.team@company.com,Staging,Maintenance,2024-11-08 07:22:00,,480.0,Firefox,macOS,,Functional
JIRA,JIRA-1982,Slow query on reports page,Bug found in auth module.,Critical,Open,Unknown,Unknown,jane.smith@company.com,Development,Maintenance,2024-07-18 22:53:00,2024-07-27 00:00:00,,Edge,Windows,8.0,Performance
